authors,title,pdf_file
A. Fonzone (Edinburgh Napier University); J-D. Schmoecker (Kyoto University); V. Trozzi (Imperial College London),Stretching hyperpaths: how ubiquitous real time information can affect transit system use,ABS200_Fonzone_Schmoecker_Trozzi.pdf
"G. Hu; J. Polak, A. Sivakumar (Imperial College London)",A revealed preference method for modelling passengers' risky choice behaviours,ABS201_Hu_Polak_Sivakumar.pdf
D. Watling; S. Shepherd (University of Leeds); P. Koster; E. Verhoef (Free University Amsterdam),The meaning of S in SUE and the implication for welfare-maximizing policies in road transport networks,ABS202_Watling_et_al.pdf
K. Hjorth (TU Denmark); M. Börjesson (KTH Stockholm); M. Fosgerau (TU Denmark); L. Engelson (KTH Stockholm),Estimating exponential scheduling preferences,ABS203_Hjorth_Borjesson_Fosgerau_Engelson.pdf
T.K.  Rasmussen; J.B. Ingvardson; K. Halldorsdottir; O.A. Nielsen (TU Denmark),Enhancing the use of global positioning systems data from wearable GPS devices as travel survey method: a case study in the Copenhagen region,ABS205_Rasmussen_Ingvardson_Halldorsdottir_Nielsen.pdf
M. Tsami (Centre for Research and Technology Hellas); E. Nathanail (University of Thessaly),A contribution of identifying hot the gap between travellers' perceptions and transit operators' planning affect travel choices,ABS208_Tsami_Nathanail.pdf
G. Flötteröd (KTH); C. Osorio (MIT Boston),Analytical approximation of transient joint queue-length distributions of a finite capacity queueing network,ABS211_Flotterod_Osorio.pdf
S. Barzin; D.J. Graham; P.C. Melo (Imperial College London),The effects of urban transport on agglomeration economies and productivity of cities of high growth developing countries,ABS214_Barzin_Graham_Melo.pdf
F. Vitti (University of Luxembourg); M. Rinaldi (Katolieke Universiteit Leuven); F. Corman (TU Delft),Quantifying partial observability on network sensor location problems,ABS215_Viti_Rinaldi_Corman.pdf
J. Ekström; C. Rydergren (Linköping University),Why modeling of heavy goods vehicles matters when designing congestion pricing shemes,ABS217_Ekstrom_Rydergren.pdf
F. Leurent (Ecole des Ponts Paris-Est),"A stochastic theory of passenger traffic along a transit line, with operations policy and relativity effect",ABS218_Leurent.pdf
S. Marechal; J. Polak; A. Sivakumar (Imperaial College London),The consumption of travel information: investigating the acquisition and use of sources,ABS222_Marechal_Polak_Sivakumar.pdf
B. Boyaci; N. Geroliminis (EPFL Lausanne),Extended hypercube models for location problems with stochatics demand,ABS223_Boyaci_Geroliminis.pdf
G. Björklund (Centre for Transport Studies; R. Mortazavi (Dalarna University),Influences of infrastructure and attitudes to health on value of travel time savings in bicycle journeys,ABS225_Bjorklund_Mortazavi.pdf
M. Thorhauge; E. Cherchi; J. Rich (TU Denmark),Accounting for the effect of rescheduling possibilities in the departure time choice using an efficient stated preference design,ABS228_Thorhauge_Cherchi_Rich.pdf
"H. de Groot (VU University Amsterdam, CPB Netherlands Bureau for Economic Policy Analysis); I. Ossokina; C. Teulings",The effects of transport infrastructure changes: a general equilibrium perspective,ABS230_deGroot_Ossokina_Teulings.pdf
M. Tulic; D. Bauer (Austrian Institute of Technology); W. Scherrer (Vienna University of Technology),Route travel time prediction and variability estimation in an urban network based on taxi floating car data,ABS231_Tulic_Bauer_Scherrer.pdf
M. Börjeson (KTH Stockholm); K. Brundell-Freij (WSP); J. Eliasson (KTH Stockholm),Would Stockholm congestion charges have worked elsewhere?,ABS232_Borjesson_Brundell-Freij_Eliasson.pdf
S. Hess University of Leeds); M. Quddus (Loughborough University); N. Rieser (ETHZ Zurich); A. Daly (University of Leeds; RAND Europe),Developing enhanced route choice models for heavy goods vehicles using GPS data,ABS233_Hess_Quddus_Rieser_Daly.pdf
N. de Lamberterie (EPFL Lausanne-UC Berkeley); A. Skabardonis (UC Berkeley); M. Ramezani (EPFL Lausanne),Real-time management of queue spillovers along an arterial,ABS234_de_Lamberterie_et_al.pdf
Y. Hlotova; S. Meijer; O. Cats (KTH Stockholm),Stress and situational awareness among bus drivers,ABS235_Hlotova_Meijer_Cats.pdf
J. Holmgren (Blekinge Institute of Technology); P.O. Lindberg (KTH Stockholm),Improvement solution quality through suboptimal subproblem solving in the FW method for traffic assignment,ABS238_Holmgren_Lindberg.pdf
P. Reina; S. Ahn (Arizona State University),Prediciton of merge ratios using lane flow distribution,ABS243_Reina_Ahn.pdf
E. RutstromGeorgia State University); R. Harb (University of Central Florida); V. Dixit (University of New South Wales Australia); J. Martinez (Copenhagen Business school),Can we use students to predict choices in the field? A study of simulated drives with the possibility of congestion,ABS244_Rustrom_Harb_Dixit_Martinez.pdf
R. Liu Liu (University of Leeds); M. Smith (University of York),Route-choice and signal control: the stability and instability of traffic signal controlled networks,ABS246_LiuLiu_Smith.pdf
M. Smith; R. Mounce (University of York),A dynamic link performance model and convergence in day to traffic assignment,ABS249_Smith_Mounce.pdf
D. Abegaz; M. Fosgerau (TU Denmark),The value of reliability with endogenous meeting time,ABS255_Abegaz_Fosgerau.pdf
G. Flötteröd; Z. Yan; A. Kalström (KTH Stockholm),Route choice model estimation with simulated attributes,ABS256_Flotterod_et_al.pdf
C. Osorio (MIT); G. Flötteröd (KTH Stockholm); C. Wang (MIT),Efficient calibration of stochastic traffic simulation models,ABS257_Osorio_Flotterod_Wang.pdf
F. Hänseler (EPFL,An aggregate dynamic flow model for pedestrian movement in railway stations,
